title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
ADAPTIVE LEARNING TECHNOLOGY: SCIENTIFIC RESEARCH AND NEW TECHNOLOGY LEADS TO FASTER LEARNING AND BETTER RETENTION,M van Sterkenburg,2014,0,"… The algorithm is based on scientific research. It used the Leitner [1] system (flash card, spaced … Drillster has digitized and improved on the Leitner system. Modern technology makes it …",5X4-4uJLRIUJ,"M van Sterkenburg - EDULEARN14 Proceedings, 2014 - library.iated.org",[],https://library.iated.org/view/VANSTERKENBURG2014ADA,unknown,unknown
Examining two adaptive sequencing approaches for flashcard learning: The tradeoff between training efficiency and long-term retention,"DE Whitmer, CI Johnson, MD Marraffino",2022,5,"… In this paper, we discuss the literature behind flashcard learning and adaptive training, and we … adaptive sequencing approach that is consistent with the spacing effect is the Leitner …",OX6p3EX9rkcJ,"DE Whitmer, CI Johnson, MD Marraffino - International Conference on …, 2022 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-05887-5_10,unknown,unknown
Unbounded human learning: Optimal scheduling for spaced repetition,"S Reddy, I Labutov, S Banerjee…",2016,103,"… of the spacing effect for learning: the phenomenon in which periodic, spaced review of … focus on one of the simplest and oldest spaced repetition methods: the Leitner system [13]. …",PM9qt-Ss-OUJ,"S Reddy, I Labutov, S Banerjee… - Proceedings of the 22nd …, 2016 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2939672.2939850,unknown,unknown
Benefits of adaptive learning transfer from typing-based learning to speech-based learning,"T Wilschut, F Sense, M van der Velde…",2021,23,"… approach outperforms an accuracy-based, Leitner flashcard approach in learning efficiency (demonstrated by higher average accuracy and lower response times after a …",PxDBwkY_8_UJ,"T Wilschut, F Sense, M van der Velde… - Frontiers in artificial …, 2021 - frontiersin.org",[],https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2021.780131/full,unknown,unknown
Spaced repetition for slow learners,"DP Shah, NM Jagtap, SS Shah…",2020,12,"… Based on this algorithm, a model has been proposed with experimental analysis of the same… and the Leitner System demonstrates the adaptability of the algorithm to the learning curve …",jwngpi5ltH8J,"DP Shah, NM Jagtap, SS Shah… - 2020 IEEE Bombay …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9332189/,unknown,unknown
Adaptive learning with the LS-plan system: a field evaluation,"C Limongelli, F Sciarrone…",2009,149,… the student model updating and adaptive decision-making algorithms presented in [30… algorithms that are the core of the system we are going to experiment. At each step of the learning …,44Y7rY6oTzoJ,"C Limongelli, F Sciarrone… - … on Learning …, 2009 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/4967566/,unknown,unknown
Adaptive spaced education improves learning efficiency: a randomized controlled trial,BP Kerfoot,2010,128,… To harness the educational benefits of the spacing effect the spaced education item is repeated a fixed number of times (usually 2 to 3) at 1 to 12-week intervals. This fixed repetition of …,qud1lmSfsyEJ,"BP Kerfoot - The Journal of urology, 2010 - auajournals.org",[],https://www.auajournals.org/doi/abs/10.1016/j.juro.2009.10.005,unknown,unknown
